# Units: Energy in GeV,  Length in mm,  Time in sec
#   Nr      Name   PID Stat   M1   M2   D1   D2        Px        Py        Pz         E      Mass         X         Y         Z         T
     1       e^+   -11    3    0    0    0    0       0E0       0E0    1.25E2    1.25E2    5.1E-4       0E0       0E0       0E0       0E0
     2       e^-    11    3    0    0    0    0       0E0       0E0   -1.25E2    1.25E2    5.1E-4       0E0       0E0       0E0       0E0
     3       e^+   -11    3    1    0    0    0       0E0       0E0    1.25E2    1.25E2       0E0       0E0       0E0       0E0       0E0
     4       e^-    11    3    2    0    0    0       0E0       0E0   -1.25E2    1.25E2       0E0       0E0       0E0       0E0       0E0
     5       e^+   -11    3    3    0    0    0       0E0       0E0    1.25E2    1.25E2       0E0       0E0       0E0       0E0       0E0
     6       e^-    11    3    4    0    0    0  -9.61E-4  4.525E-3  -1.718E1   1.718E1       0E0       0E0       0E0       0E0       0E0
     7       Z^0    23    3    5    6    0    0  -9.61E-4  4.525E-3   1.078E2   1.422E2   9.268E1       0E0       0E0       0E0       0E0
     8       e^-    11    3    7    0    0    0   3.315E0   4.565E1   6.509E1   7.957E1    5.1E-4       0E0       0E0       0E0       0E0
     9       e^+   -11    3    7    0    0    0  -3.316E0  -4.564E1   4.273E1   6.261E1    5.1E-4       0E0       0E0       0E0       0E0
    10       Z^0    23    2    7    0   13   15  -9.61E-4  4.525E-3   1.078E2   1.422E2   9.268E1       0E0       0E0       0E0       0E0
    11     gamma    22    1    4    0    0    0   9.62E-4 -4.525E-3  -1.078E2   1.078E2       0E0       0E0       0E0       0E0       0E0
    12     gamma    22    1    4    0    0    0       0E0       0E0   -1.3E-5    1.3E-5       0E0       0E0       0E0       0E0       0E0
    13       e^-    11    1    8    0    0    0   3.276E0   4.511E1   6.432E1   7.863E1    5.1E-4       0E0       0E0       0E0       0E0
    14       e^+   -11    1    9    0    0    0  -5.791E0  -3.963E1    3.54E1   5.345E1    5.1E-4       0E0       0E0       0E0       0E0
    15     gamma    22    1    9    0    0    0   2.514E0   -5.48E0     8.1E0    1.01E1       0E0       0E0       0E0       0E0       0E0
    16     gamma    22    1    1    0    0    0       0E0       0E0       0E0       0E0       0E0       0E0       0E0       0E0       0E0
    17     gamma    22    1    2    0    0    0       0E0       0E0     -9E-6      9E-6       0E0       0E0       0E0       0E0       0E0
#END
# Units: Energy in GeV,  Length in mm,  Time in sec
#    Nr      Name   PID Stat   M1   M2   D1   D2        Px        Py        Pz         E      Mass         X         Y         Z         T
     1       e^+   -11    3    0    0    0    0       0E0       0E0    1.25E2    1.25E2    5.1E-4       0E0       0E0       0E0       0E0
     2       e^-    11    3    0    0    0    0       0E0       0E0   -1.25E2    1.25E2    5.1E-4       0E0       0E0       0E0       0E0
     3       e^+   -11    3    1    0    0    0       0E0       0E0   2.321E1   2.321E1       0E0       0E0       0E0       0E0       0E0
     4       e^-    11    3    2    0    0    0       0E0       0E0  -8.978E1   8.978E1       0E0       0E0       0E0       0E0       0E0
     5       e^+   -11    3    3    0    0    0       0E0       0E0   2.321E1   2.321E1       0E0       0E0       0E0       0E0       0E0
     6       e^-    11    3    4    0    0    0       0E0       0E0  -8.978E1   8.978E1       0E0       0E0       0E0       0E0       0E0
     7       Z^0    23    3    5    6    0    0       0E0       0E0  -6.657E1    1.13E2    9.13E1       0E0       0E0       0E0       0E0
     8         c     4    3    7    0    0    0   3.262E1   1.788E1  -6.598E1   7.576E1     1.5E0       0E0       0E0       0E0       0E0
     9        c~    -4    3    7    0    0    0  -3.262E1  -1.788E1 -5.961E-1   3.724E1     1.5E0       0E0       0E0       0E0       0E0
    10       Z^0    23    2    7    0   13   23       0E0       0E0  -6.657E1    1.13E2    9.13E1       0E0       0E0       0E0       0E0
    11     gamma    22    1    1    0    0    0       0E0       0E0   1.018E2   1.018E2       0E0       0E0       0E0       0E0       0E0
    12     gamma    22    1    2    0    0    0       0E0       0E0  -3.522E1   3.522E1       0E0       0E0       0E0       0E0       0E0
    13        c~    -4    2    9    0   24   24   -1.79E1  -8.407E0   3.29E-1   1.983E1     1.5E0       0E0       0E0       0E0       0E0
    14         g    21    2    9    0   24   24  -5.491E0  -2.975E0  3.277E-1   6.254E0       0E0       0E0       0E0       0E0       0E0
    15         g    21    2    9    0   24   24  -3.785E0  -3.327E0 -2.829E-1   5.047E0       0E0       0E0       0E0       0E0       0E0
    16         g    21    2    9    0   24   24 -2.562E-1  -3.66E-1 -3.535E-1  5.697E-1       0E0       0E0       0E0       0E0       0E0
    17         g    21    2    9    0   24   24  -1.618E0  -1.706E0 -3.067E-1   2.371E0       0E0       0E0       0E0       0E0       0E0
    18         g    21    2    9    0   24   24  -2.576E0   -1.23E0 -3.788E-1   2.879E0       0E0       0E0       0E0       0E0       0E0
    19         g    21    2    9    0   24   24 -2.439E-1  3.066E-1 -3.748E-1  5.422E-1       0E0       0E0       0E0       0E0       0E0
    20         g    21    2    8    0   24   24   3.812E0  3.247E-3  -3.939E0   5.481E0       0E0       0E0       0E0       0E0       0E0
    21         g    21    2    8    0   24   24  5.523E-1  1.249E-1 -7.212E-1   9.17E-1       0E0       0E0       0E0       0E0       0E0
    22         g    21    2    8    0   24   24    6.57E0    4.28E0   -1.55E1   1.737E1       0E0       0E0       0E0       0E0       0E0
    23         c     4    2    8    0   24   24   2.093E1    1.33E1  -4.538E1   5.173E1     1.5E0       0E0       0E0       0E0       0E0
    24 generator-   92    2   13   23   25   37       0E0       0E0  -6.657E1    1.13E2    9.13E1       0E0       0E0       0E0       0E0
    25      D~^0  -421    2   24    0   38   42  -1.829E1  -9.011E0  7.715E-1   2.049E1   1.864E0       0E0       0E0       0E0       0E0
    26      pi^-  -211    1   24    0    0    0  -2.522E0  -2.037E0 -2.583E-1   3.256E0  1.396E-1       0E0       0E0       0E0       0E0
    27      pi^+   211    1   24    0    0    0  -1.195E0 -3.944E-1 -1.606E-1   1.277E0  1.396E-1       0E0       0E0       0E0       0E0
    28      pi^-  -211    1   24    0    0    0   -4.88E0  -3.647E0 -4.868E-1   6.113E0  1.396E-1       0E0       0E0       0E0       0E0
    29      K~^0  -311    2   24    0   43   43  -1.463E0 -3.187E-1  1.976E-2   1.578E0  4.977E-1       0E0       0E0       0E0       0E0
    30 K*(892)^0   313    2   24    0   44   45 -9.499E-1  -1.147E0 -1.858E-1   1.756E0  9.122E-1       0E0       0E0       0E0       0E0
    31 rho(770)^0  113    2   24    0   46   47  -2.133E0  -1.052E0  -8.24E-1   2.641E0  8.005E-1       0E0       0E0       0E0       0E0
    32      K~^0  -311    2   24    0   48   48  7.385E-2 -1.473E-1 -2.706E-1  5.899E-1  4.977E-1       0E0       0E0       0E0       0E0
    33 K*(892)^0   313    2   24    0   49   50   1.501E0  1.448E-1  -1.619E0   2.411E0  9.593E-1       0E0       0E0       0E0       0E0
    34 rho(770)^+  213    2   24    0   51   52  6.233E-1  4.104E-1   -1.22E0   1.621E0  7.626E-1       0E0       0E0       0E0       0E0
    35       K^-  -321    1   24    0    0    0   2.759E0  5.801E-2  -4.231E0   5.076E0  4.936E-1       0E0       0E0       0E0       0E0
    36       K^+   321    1   24    0    0    0   4.673E0    3.67E0  -1.057E1   1.213E1  4.936E-1       0E0       0E0       0E0       0E0
    37 D*(2007)^0  423    2   24    0   53   54   2.181E1   1.347E1  -4.754E1   5.405E1   2.007E0       0E0       0E0       0E0       0E0
    38       K^0   311    2   25    0   55   55  -9.374E0  -4.888E0  5.108E-1    1.06E1  4.977E-1     -3E-4     -1E-4       0E0      4E-4
    39      pi^-  -211    1   25    0    0    0  -2.156E0  -1.156E0  3.762E-2    2.45E0  1.396E-1     -3E-4     -1E-4       0E0      4E-4
    40      pi^+   211    1   25    0    0    0   -5.19E0  -2.215E0  3.299E-2   5.645E0  1.396E-1     -3E-4     -1E-4       0E0      4E-4
    41      pi^0   111    2   25    0   56   57   -1.38E0 -6.064E-1  1.472E-1   1.521E0   1.35E-1     -3E-4     -1E-4       0E0      4E-4
    42      pi^0   111    2   25    0   58   59  -1.95E-1 -1.459E-1   4.28E-2  2.817E-1   1.35E-1     -3E-4     -1E-4       0E0      4E-4
    43     K_S^0   310    1   29    0    0    0  -1.463E0 -3.187E-1  1.976E-2   1.578E0  4.977E-1       0E0       0E0       0E0       0E0
    44       K^0   311    2   30    0   60   60 -3.795E-1 -8.331E-1  6.868E-2   1.044E0  4.977E-1       0E0       0E0       0E0       0E0
    45      pi^0   111    2   30    0   61   62 -5.704E-1 -3.136E-1 -2.545E-1  7.118E-1   1.35E-1       0E0       0E0       0E0       0E0
    46      pi^-  -211    1   31    0    0    0  -1.673E0 -4.481E-1 -5.767E-1   1.831E0  1.396E-1       0E0       0E0       0E0       0E0
    47      pi^+   211    1   31    0    0    0 -4.603E-1 -6.039E-1 -2.473E-1  8.107E-1  1.396E-1       0E0       0E0       0E0       0E0
    48     K_L^0   130    1   32    0    0    0  7.385E-2 -1.473E-1 -2.706E-1  5.899E-1  4.977E-1       0E0       0E0       0E0       0E0
    49       K^0   311    2   33    0   63   63   1.004E0  3.053E-1  -1.425E0   1.838E0  4.977E-1       0E0       0E0       0E0       0E0
    50      pi^0   111    2   33    0   64   65  4.966E-1 -1.604E-1 -1.937E-1  5.728E-1   1.35E-1       0E0       0E0       0E0       0E0
    51      pi^+   211    1   34    0    0    0 -1.376E-1  1.545E-1 -2.339E-1   3.42E-1  1.396E-1       0E0       0E0       0E0       0E0
    52      pi^0   111    2   34    0   66   67  7.609E-1  2.559E-1 -9.866E-1   1.279E0   1.35E-1       0E0       0E0       0E0       0E0
    53       D^0   421    2   37    0   68   70    2.04E1    1.26E1  -4.418E1    5.03E1   1.864E0       0E0       0E0       0E0       0E0
    54     gamma    22    1   37    0    0    0    1.41E0  8.673E-1  -3.358E0   3.744E0       0E0       0E0       0E0       0E0       0E0
    55     K_L^0   130    1   38    0    0    0  -9.374E0  -4.888E0  5.108E-1    1.06E1  4.977E-1     -3E-4     -1E-4       0E0      4E-4
